State,Wiki_name_long,Wiki_name,Station Identifier,Channel Number,AM/FM,Dataset,Link
California,"Sacramento, California",Sacramento,KUOP,91.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Sacramento, California",Sacramento,KXJZ,90.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Sacramento, California",Sacramento,KXPR,88.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"San Ardo, California",San Ardo,KNBX,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"San Bernardino, California",San Bernardino,KVCR,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"San Diego, California",San Diego,KPBS,89.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"San Diego, California",San Diego,KSDS,88.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,San Francisco,San Francisco,KALW,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,San Francisco,San Francisco,KQED,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,San Francisco,San Francisco,KUSF,90.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"San Luis Obispo, California",San Luis Obispo,KCBX,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"San Mateo, California",San Mateo,KCSM,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Santa Barbara, California",Santa Barbara,KDRW,88.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Santa Barbara, California",Santa Barbara,KCLU,1340,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Santa Barbara, California",Santa Barbara,KSBX,89.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Santa Monica, California",Santa Monica,KCRW,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Santa Rosa, California",Santa Rosa,KRCB,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Seaside, California",Seaside,KAZU,90.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Shasta Lake City, California",Shasta Lake City,KJPR,1330,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Sutter, California",Sutter,KXJS,88.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Tahoe City, California",Tahoe City,KKTO,90.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Thousand Oaks, California",Thousand Oaks,KCLU,88.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Thousand Oaks, California",Thousand Oaks,KDSC,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Willits, California",Willits,KZYZ,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Yreka, California",Yreka,KNYR,91.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Yreka, California",Yreka,KSYC,1490,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Alamosa, Colorado",Alamosa,KRZA,88.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Aspen, Colorado",Aspen,KAJX,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Boulder, Colorado",Boulder,KCFC,1490,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Carbondale, Colorado",Carbondale,KCJX,88.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Carbondale, Colorado",Carbondale,KDNK,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Carbondale, Colorado",Carbondale,KVOV,90.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Colorado Springs, Colorado",Colorado Springs,KRCC,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Cortez, Colorado",Cortez,KSJD,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Craig, Colorado",Craig,KPYR,88.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Crested Butte, Colorado",Crested Butte,KBUT,90.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Delta, Colorado",Delta,KPRU,103.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Denver, Colorado",Denver,KCFR,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Denver, Colorado",Denver,KUVO,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Denver, Colorado",Denver,KVOD,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Fort Collins, Colorado",Fort Collins,KVXQ,88.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Grand Junction, Colorado",Grand Junction,KPRN,89.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Greeley, Colorado",Greeley,KUNC,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Ignacio, Colorado",Ignacio,KSUT,91.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Ignacio, Colorado",Ignacio,KUTE,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"La Junta, Colorado",La Junta,KECC,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Manitou Springs, Colorado",Manitou Springs,KCME,88.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Montrose, Colorado",Montrose,KPRH,88.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Montrose, Colorado",Montrose,KVMT,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Paonia, Colorado",Paonia,KVNF,90.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Pueblo, Colorado",Pueblo,KCFP,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Pueblo, Colorado",Pueblo,KKPC,1230,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Steamboat Springs, Colorado",Steamboat Springs,KRNC,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Telluride, Colorado",Telluride,KOTO,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Colorado,"Vail, Colorado",Vail,KPRE,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Fairfield, Connecticut",Fairfield,WSHU,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Fairfield, Connecticut",Fairfield,WVOF,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Meriden, Connecticut",Meriden,WNPR,90.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Middletown, Connecticut",Middletown,WESU,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Norwich, Connecticut",Norwich,WPKT,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Sharon, Connecticut",Sharon,WHDD,1020,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Sharon, Connecticut",Sharon,WHDD,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Sharon, Connecticut",Sharon,WQQQ,103.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Stamford, Connecticut",Stamford,WEDW,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Westport, Connecticut",Westport,WSHU,1260,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Connecticut,"Willimantic, Connecticut",Willimantic,WECS,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Delaware,"Dover, Delaware",Dover,WRTX,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Delaware,"Dover, Delaware",Dover,WDDE,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Delaware,"Wilmington, Delaware",Wilmington,WMPH,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
District of Columbia,"Washington, D.C.",Washington,WAMU,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
District of Columbia,"Washington, D.C.",Washington,WETA,90.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Ft. Myers, Florida",Ft. Myers,WGCU,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Ft. Pierce, Florida",Ft. Pierce,WQCS,88.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Gainesville, Florida",Gainesville,WUFT,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Inverness, Florida",Inverness,WJUF,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Jacksonville, Florida",Jacksonville,WJCT,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Marathon, Florida","Marathon/Key West, Florida",WKWM,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Marco, Florida",Marco,WMKO,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Melbourne, Florida",Melbourne,WFIT,89.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Miami, Florida",Miami,WDNA,88.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Miami, Florida",Miami,WLRN,91.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Orlando, Florida",Orlando,WMFE,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Orlando, Florida",Orlando,WUCF,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Panama City, Florida",Panama City,WFSW,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Panama City, Florida",Panama City,WKGC,1480,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Panama City, Florida",Panama City,WKGC,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Pensacola, Florida",Pensacola,WUWF,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Sarasota, Florida",Sarasota,WSMR,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Tallahassee, Florida",Tallahassee,WFSQ,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Tallahassee, Florida",Tallahassee,WFSU,88.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Tampa, Florida",Tampa,WMNF,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Florida,"Tampa, Florida",Tampa,WUSF,89.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Albany, Georgia",Albany,WUNV,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,"Athens, Georgia",Athens,WUGA,91.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,Atlanta,Atlanta,WABE,90.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Georgia,Atlanta,Atlanta,WCLK,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
