Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
844,Minnesota,,Duluth,KUMD,FM,103.3,@kumd1033fm,,Twitter,right_only,Emptyatload
845,Minnesota,,Duluth,WSCD,FM,92.9,@mpr,,Twitter,right_only,Emptyatload
846,Minnesota,,Fergus Falls,KCMF,FM,89.7,@mpr,,Twitter,right_only,Emptyatload
847,Minnesota,,Fergus Falls,KNWF,FM,91.5,@mpr,,Twitter,right_only,Emptyatload
848,Minnesota,,Grand Marais,WLSN,FM,89.7,None,,Twitter,right_only,Emptyatload
849,Minnesota,,Grand Marais,WMLS,FM,88.7,@classicalmpr,,Twitter,right_only,Emptyatload
850,Minnesota,,Grand Marais,WTIP,FM,90.7,@wtipradio,,Twitter,right_only,Emptyatload
851,Minnesota,,Grand Portage,WGPO,FM,90.1,@wtipradio,,Twitter,right_only,Emptyatload
852,Minnesota,,Hinckley,WGRH,FM,88.5,@mpr,,Twitter,right_only,Emptyatload
853,Minnesota,,International Falls,KITF,FM,88.3,@mpr,,Twitter,right_only,Emptyatload
854,Minnesota,,Mankato,KMSU,FM,89.7,@kmsutwitter,,Twitter,right_only,Emptyatload
855,Minnesota,,Minneapolis,KBEM,FM,88.5,@kbemfm,,Twitter,right_only,Emptyatload
856,Minnesota,,Minneapolis,KFAI,FM,90.3,@kfainews,,Twitter,right_only,Emptyatload
857,Minnesota,,Moorhead,KCCM,FM,91.1,@mpr,,Twitter,right_only,Emptyatload
858,Minnesota,,"St. Paul Minneapolis, Minnesota",KCMP,FM,89.3,@kcmpnews,,Twitter,right_only,Emptyatload
859,Minnesota,,Redwood Falls,KRFI,FM,88.1,@mpr,,Twitter,right_only,Emptyatload
860,Minnesota,,Rochester,KLSE,FM,90.7,@mpr,,Twitter,right_only,Emptyatload
861,Minnesota,,Rochester,KZSE,FM,91.7,@mpr,,Twitter,right_only,Emptyatload
862,Minnesota,,Roseau,KRXW,FM,103.5,None,,Twitter,right_only,Emptyatload
863,Minnesota,,Minneapolis,KSJN,FM,99.5,@mpr,,Twitter,right_only,Emptyatload
864,Minnesota,,Mankato,KGAC,FM,90.5,@mpr,,Twitter,right_only,Emptyatload
865,Minnesota,,Thief River Falls,KQMN,FM,91.5,@mpr,,Twitter,right_only,Emptyatload
866,Minnesota,,Hibbing,WIRR,FM,90.9,@mpr,,Twitter,right_only,Emptyatload
867,Minnesota,,Marshall,KRSW,FM,89.3,None,,Twitter,right_only,Emptyatload
332,Mississippi,Booneville,Booneville,WMAE,FM,89.5,@mpbonline,,Twitter,both,Emptyatload
333,Mississippi,Bude,Bude,WMAU,FM,88.9,@mpbonline,,Twitter,both,Emptyatload
334,Mississippi,Greenwood,Greenwood,WMAO,FM,90.9,None,,Twitter,both,Emptyatload
335,Mississippi,Holly Springs,Holly Springs,WURC,FM,88.1,@wurc881,,Twitter,both,Emptyatload
336,Mississippi,Jackson,Jackson,WJSU,FM,88.5,@wjsu885,,Twitter,both,Emptyatload
340,Mississippi,Mississippi State,Mississippi State,WMAB,FM,89.9,@mpbonline,,Twitter,both,Emptyatload
342,Mississippi,Senatobia,,WKNA,FM,88.9,None,,Twitter,left_only,Emptyatload
868,Mississippi,,Starkville,WMSV,FM,91.1,@msuradio_wmsv,,Twitter,right_only,Emptyatload
343,Missouri,Branson,Branson,KSMS,FM,90.5,@ksmu,,Twitter,both,Emptyatload
345,Missouri,Chillicothe,Chillicothe,KRNW,FM,88.9,@kxcvkrnw,,Twitter,both,Emptyatload
351,Missouri,Springfield,Springfield,KSMU,FM,91.1,@ksmu,,Twitter,both,Emptyatload
352,Missouri,St. Louis,St. Louis,KWMU,FM,90.7,@stlpublicradio,,Twitter,both,Emptyatload
353,Missouri,Warrensburg,Warrensburg,KTBG,FM,90.9,@909thebridge,,Twitter,both,Emptyatload
350,Missouri,Rolla,,KUMR,FM,88.5,None,,Twitter,left_only,Emptyatload
869,Missouri,,Rolla,KMST,FM,88.5,@stlpublicradio,,Twitter,right_only,Emptyatload
870,Missouri,,Sainte Genevieve,KSEF,FM,88.9,None,,Twitter,right_only,Emptyatload
871,Missouri,,West Plains,KSMW,FM,90.9,@ksmu,,Twitter,right_only,Emptyatload
872,Montana,,Bozeman,KGLT,FM,91.9,@kgltfm,,Twitter,right_only,Emptyatload
873,Montana,,Helena Valley SE,KYPX,FM,106.5,None,,Twitter,right_only,Emptyatload
874,Montana,,Miles City,KYPR,FM,90.7,None,,Twitter,right_only,Emptyatload
373,Nebraska,North Platte,North Platte,KPNE,FM,91.7,None,,Twitter,both,Emptyatload
374,Nebraska,Omaha,Omaha,KIOS,FM,91.5,@kiosomaha,,Twitter,both,Emptyatload
