,State,Agency name,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes
177,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,4.0,1.0,15.0
178,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,5.0,6.0,21.0
179,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,5.0,1.0,16.0
180,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,4.0,6.0,20.0
181,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,4.0,1.0,15.0
182,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,5.0,6.0,21.0
183,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,5.0,1.0,16.0
184,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,4.0,6.0,18.0
185,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,4.0,1.0,13.0
186,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,5.0,6.0,19.0
187,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,5.0,1.0,14.0
188,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,4.0,6.0,18.0
189,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,4.0,1.0,13.0
190,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,5.0,6.0,19.0
191,California,Davis,38.5449065,-121.7405167,4.0,2.0,2.0,5.0,1.0,14.0
192,California,Desert Hot Springs,33.961124,-116.5016784,0.0,0.0,0.0,0.0,0.0,0.0
193,California,Diamond Bar,34.0286226,-117.8103367,1.0,0.0,0.0,2.0,0.0,3.0
194,California,Dominguez Hills,33.8633706,-118.2552809,1.0,1.0,0.0,1.0,4.0,7.0
195,California,Downey,33.9401088,-118.1331593,1.0,0.0,0.0,0.0,1.0,2.0
196,California,Duarte,34.1394513,-117.9772873,0.0,1.0,0.0,0.0,0.0,1.0
197,California,Dublin,37.7021521,-121.9357918,0.0,0.0,2.0,0.0,0.0,2.0
198,California,East Bay,37.7749295,-122.4194155,0.0,0.0,0.0,0.0,0.0,0.0
199,California,East Palo Alto,37.4688273,-122.1410751,0.0,0.0,0.0,1.0,0.0,1.0
200,California,Eastvale,33.952463,-117.5848025,3.0,0.0,0.0,0.0,1.0,4.0
201,California,El Cajon,32.7947731,-116.9625269,1.0,2.0,0.0,0.0,0.0,3.0
202,California,El Cerrito,37.9161326,-122.310765,0.0,6.0,8.0,2.0,0.0,16.0
203,California,El Monte,34.0686206,-118.0275667,3.0,5.0,5.0,2.0,0.0,15.0
204,California,El Segundo,33.9191799,-118.4164652,0.0,0.0,0.0,1.0,2.0,3.0
205,California,Elk Grove,38.4087993,-121.3716178,0.0,1.0,0.0,2.0,1.0,4.0
206,California,Emeryville,37.831316,-122.2852473,0.0,1.0,0.0,0.0,0.0,1.0
207,California,Encinitas,33.0369867,-117.2919818,1.0,4.0,0.0,0.0,1.0,6.0
208,California,Escondido,33.1192068,-117.086421,10.0,7.0,4.0,6.0,1.0,28.0
209,California,Eureka,40.8020712,-124.1636729,3.0,1.0,1.0,2.0,0.0,7.0
210,California,Fairfield,38.24935809999999,-122.0399663,0.0,3.0,1.0,0.0,2.0,6.0
211,California,Farmersville,36.2977283,-119.2067767,0.0,0.0,0.0,0.0,1.0,1.0
212,California,Firebaugh,36.8588376,-120.4560072,0.0,0.0,0.0,1.0,0.0,1.0
213,California,Folsom,38.6779591,-121.1760583,0.0,0.0,0.0,2.0,1.0,3.0
214,California,Fontana,34.0922335,-117.435048,0.0,1.0,3.0,0.0,0.0,4.0
215,California,Foothill-De Anza College,37.3620489,-122.1271421,0.0,0.0,0.0,0.0,0.0,0.0
216,California,Fort Bragg,39.445723,-123.8052935,0.0,0.0,1.0,1.0,2.0,4.0
217,California,Foster City,37.5585465,-122.2710788,0.0,1.0,0.0,0.0,0.0,1.0
218,California,Fountain Valley,33.7090212,-117.9544069,0.0,0.0,0.0,0.0,0.0,0.0
219,California,Fowler,36.6305058,-119.6784697,1.0,0.0,0.0,0.0,0.0,1.0
220,California,Fremont,37.5482697,-121.9885719,0.0,0.0,1.0,3.0,1.0,5.0
221,California,Fresno,36.7377981,-119.7871247,6.0,6.0,9.0,7.0,10.0,38.0
222,California,Fullerton,33.8703645,-117.9242123,0.0,1.0,0.0,1.0,1.0,3.0
223,California,Fullerton,33.8703645,-117.9242123,0.0,1.0,0.0,1.0,0.0,2.0
224,California,Fullerton,33.8703645,-117.9242123,0.0,1.0,0.0,0.0,1.0,2.0
