,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,_merge,Twitter Handle,Alternate,Twitter
206,Indiana,Lafayette,West Lafayette,WBAA,AM,920.0,both,@wbaanews,@wbaaradio,Twitter
207,Indiana,Marion,Marion,WBSW,FM,90.9,both,@INPublicRadio,,Twitter
208,Indiana,Muncie,Muncie,WBST,FM,92.1,both,@INPublicRadio,,Twitter
209,Indiana,North Manchester,,WBKE,FM,89.5,left_only,None,,Twitter
210,Indiana,Orland,,WBOI,FM,91.3,left_only,@wboi,,Twitter
211,Indiana,Portland,Portland,WBSJ,FM,91.7,both,@INpublicradio,,Twitter
212,Indiana,Richmond,,WVXR,FM,89.3,left_only,None,,Twitter
213,Indiana,West Lafayette,West Lafayette,WBAA,FM,101.3,both,@wbaaradio,@wbaanews,Twitter
214,Iowa,Ames,Ames,WOI,AM,640.0,both,@iowapublicradio,,Twitter
215,Iowa,Ames,Ames,WOI,FM,90.1,both,@iowapublicradio,,Twitter
216,Iowa,Cedar Falls,Cedar Falls,KUNI,FM,90.9,both,@iowapublicradio,,Twitter
217,Iowa,Cedar Rapids,Cedar Rapids,KCCK,FM,88.3,both,@jazz883kcck,,Twitter
218,Iowa,Decorah,Decorah,KLNI,FM,88.7,both,None,,Twitter
219,Iowa,Fort Dodge,,KTPR,FM,91.1,left_only,None,,Twitter
220,Iowa,Iowa City,Iowa City,WSUI,AM,910.0,both,@iowapublicradio,,Twitter
221,Iowa,Iowa City,Iowa City,KSUI,FM,91.7,both,@iowapublicradio,,Twitter
222,Iowa,Mason City,Mason City,KRNI,AM,1010.0,both,@iowapublicradio,,Twitter
223,Iowa,Mason City,,KUNY,FM,91.5,left_only,None,,Twitter
224,Iowa,Sioux City,Sioux City,KWIT,FM,90.3,both,@kwitkoji,,Twitter
225,Kansas,Emporia,Emporia,KANH,FM,89.7,both,@kprnews,,Twitter
226,Kansas,Garden City,Garden City,KANZ,FM,91.1,both,@hppr,,Twitter
227,Kansas,Great Bend,Great Bend,KHCT,FM,90.9,both,None,,Twitter
228,Kansas,Hill City,Hill City,KZNA,FM,90.5,both,@hppr,,Twitter
229,Kansas,Hutchinson,Hutchinson,KHCC,FM,90.1,both,@radiokansas,,Twitter
230,Kansas,Lawrence,Lawrence,KANU,FM,91.5,both,@kprnews,,Twitter
231,Kansas,Pittsburg,Pittsburg,KRPS,FM,89.9,both,@krps899,,Twitter
232,Kansas,Salina,Salina,KHCD,FM,89.5,both,@radiokansas,,Twitter
233,Kansas,Wichita,Wichita,KMUW,FM,89.1,both,@kmuw,,Twitter
