State,Agency Type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,,San Francisco,11,7,14,0,1,4,9,12,10,5,"871,155"
California,,San Jose,10,7,2,0,0,0,5,1,4,9,"1,041,844"
California,,San Leandro,15,3,3,1,0,0,4,5,5,8,"91,870"
California,,San Luis Obispo,2,0,0,0,0,0,2,0,0,0,"47,774"
California,,San Marcos,1,1,0,0,0,0,1,0,0,1,"94,840"
California,,San Mateo,0,1,1,0,0,0,0,1,0,1,"104,802"
California,,San Rafael,1,0,0,0,0,0,0,0,0,1,"59,435"
California,,San Ramon,4,0,0,0,0,0,0,0,0,4,"76,901"
California,,Santa Ana,2,3,1,0,0,0,3,2,0,1,"337,419"
California,,Santa Clarita,6,4,0,0,0,0,3,1,2,4,"219,611"
California,,Santa Cruz,7,3,2,0,0,0,4,1,2,5,"64,969"
California,,Santa Monica,1,1,1,0,0,0,0,2,1,0,"93,921"
California,,Santa Rosa,0,0,1,0,0,0,1,0,0,0,"176,383"
California,,Santee,0,1,0,0,0,0,0,0,0,1,"58,651"
California,,Sebastopol,1,0,0,0,0,0,0,1,0,0,"7,734"
California,,Simi Valley,1,1,0,0,0,0,0,1,0,1,"127,252"
California,,Solvang,0,0,1,0,0,0,0,0,1,0,"5,844"
California,,Sonoma,1,0,0,0,0,0,1,0,0,0,"11,113"
California,,Sonora,1,0,0,0,0,0,0,0,0,1,"4,802"
California,,South Gate,0,1,1,0,0,0,0,0,1,1,"96,791"
California,,South San Francisco,0,4,0,0,0,0,0,0,0,4,"67,995"
California,,Stockton,2,0,0,1,0,0,0,0,2,1,"308,348"
California,,Suisun City,1,0,0,0,0,0,0,1,0,0,"29,768"
California,,Sunnyvale,0,1,0,0,0,0,0,0,1,0,"154,108"
California,,Thousand Oaks,0,1,0,0,0,0,0,1,0,0,"129,853"
California,,Torrance,0,1,0,0,0,0,0,0,1,0,"149,078"
California,,Turlock,3,0,0,0,0,0,3,0,0,0,"73,031"
California,,Twentynine Palms,1,0,0,0,0,0,0,0,0,1,"26,213"
California,,Ukiah,0,0,1,0,0,0,0,1,0,0,"15,897"
California,,Union City,0,0,1,0,0,0,0,1,0,0,"75,501"
California,,Vacaville,1,0,0,0,0,0,1,0,0,0,"97,671"
California,,Vallejo,2,0,0,0,0,0,0,0,1,1,"122,293"
California,,Ventura,2,0,1,0,0,0,0,1,1,1,"110,228"
California,,Victorville,1,0,1,0,0,0,0,1,0,1,"123,438"
California,,Walnut Creek,1,1,1,0,0,0,0,1,1,1,"69,860"
California,,Watsonville,0,1,0,0,0,0,1,0,0,0,"54,110"
California,,West Covina,1,0,0,0,0,0,1,0,0,0,"108,950"
California,,West Hollywood,2,0,5,0,0,0,0,2,2,3,"36,594"
California,,Westminster,3,0,1,0,0,0,3,0,1,0,"92,582"
California,,Wildomar,1,0,0,0,0,0,0,0,0,1,"36,310"
California,,Windsor,2,0,0,0,0,0,1,0,0,1,"27,594"
California,Universities and Colleges,,22,7,9,0,0,1,,,,,
California,,"California State Polytechnic University, San Luis Obispo",1,0,0,0,0,0,1,0,0,0,"20,944"
California,,California State University:,,,,,,,,,,,
California,,Dominguez Hills,4,0,0,0,0,0,2,0,0,2,"14,635"
California,,Fullerton,0,0,1,0,0,0,0,1,0,0,"38,948"
California,,Long Beach,2,0,0,0,0,0,0,0,2,0,"37,446"
California,,San Jose,5,0,0,0,0,0,0,0,1,4,"32,773"
California,,Stanislaus,0,0,1,0,0,0,1,0,0,0,"9,282"
California,,Foothill-De Anza College,0,0,1,0,0,1,1,1,0,0,"37,960"
California,,Humboldt State University,1,1,1,0,0,0,0,2,1,0,"8,790"
California,,Riverside Community College,0,1,0,0,0,0,0,0,0,1,"37,594"
California,,San Diego State University,3,0,0,0,0,0,1,1,0,1,"34,254"
California,,University of California:,,,,,,,,,,,
California,,Berkeley,1,2,1,0,0,0,1,1,0,2,"38,189"
