,State,City,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Latitude,Longitude
319,North Dakota,Bismarck,KCND,FM,90.5,@prairiepublic,,46.8083268,-100.7837392
320,North Dakota,Dickinson,KDPR,FM,89.9,@KDPRknows,,46.8791756,-102.7896242
321,North Dakota,Fargo,KDSU,FM,91.9,@prairiepublic,,46.8771863,-96.7898034
322,North Dakota,Grand Forks,KUND,FM,89.3,@prairiepublic,,47.9252568,-97.0328547
323,North Dakota,Jamestown,KPRJ,FM,91.5,@prairiepublic,,46.9105438,-98.7084357
325,North Dakota,Williston,KPPR,FM,89.5,@prairiepublic,,48.1469683,-103.6179745
327,Ohio,Athens,WOUB,AM,1340.0,@woub,,39.3292396,-82.1012554
328,Ohio,Athens,WOUB,FM,91.3,@woub,,39.3292396,-82.1012554
332,Ohio,Dayton,WDPR,FM,88.1,@discoverdpr,,39.7589478,-84.1916069
334,Ohio,Ironton,WOUL,FM,89.1,@woub,,38.5367471,-82.6829406
336,Ohio,Mansfield,WOSV,FM,91.7,@wosu,,40.75839,-82.5154471
339,Ohio,Oxford,WMUB,FM,88.5,@917wvxu,,39.5069974,-84.74523099999999
341,Ohio,Toledo,WGTE,FM,91.3,@wtgepublic,,41.6528052,-83.5378674
342,Ohio,Wooster,WKRW,FM,89.3,@wksu,,40.8050565,-81.935143
345,Ohio,Mt. Gilead,WVXG,FM,95.1,@951rocks,,40.5492265,-82.8274014
346,Ohio,Thompson,WSKV,FM,89.1,@wskv,,41.6702348,-81.0533854
349,Ohio,Columbus,WOSU,FM,89.7,@wosu,,39.9611755,-82.99879419999999
356,Oklahoma,Altus,KOCU,FM,90.1,@kucofm,,34.637765,-99.3340442
358,Oklahoma,Ketchum,KOSN,FM,107.5,@kosuradio,,36.5245267,-95.0238513
359,Oklahoma,Tulsa,KWTU,FM,88.7,@kwgsnews,,36.1539816,-95.99277500000001
360,Oklahoma,Woodward,KWOU,FM,88.1,@kwouonline,,36.4336481,-99.3903862
361,Oregon,Ashland,KAGI,AM,930.0,@jprnews,,42.1945758,-122.7094767
362,Oregon,Ashland,KSJK,AM,1230.0,@jprnews,,42.1945758,-122.7094767
363,Oregon,Ashland,KSMF,FM,89.1,@jprnews,,42.1945758,-122.7094767
364,Oregon,Ashland,KSRG,FM,88.3,@jprnews,,42.1945758,-122.7094767
365,Oregon,Ashland,KSOR,FM,90.1,@jprnews,,42.1945758,-122.7094767
366,Oregon,Astoria,KMUN,FM,91.9,@coastradio,,46.1878841,-123.8312534
367,Oregon,Bend,KOAB,FM,91.3,@opb,,44.0581728,-121.3153096
368,Oregon,Coos Bay,KSBA,FM,88.5,@ksbanews,,43.3665007,-124.2178903
369,Oregon,Corvallis,KOAC,AM,550.0,@opb,,44.5645659,-123.2620435
370,Oregon,Eugene,KRVM,AM,1280.0,@91krvm,,44.0520691,-123.0867536
371,Oregon,Florence,KLFO,FM,88.1,@klcceugeneor,,43.9826214,-124.099841
372,Oregon,Klamath Falls,KSKF,FM,90.9,@jprnews,,42.224867,-121.7816704
373,Oregon,Newport,KLCO,FM,90.5,@klcceugeneor,,44.6367836,-124.0534505
375,Oregon,Portland,KOPB,FM,91.5,@opb,,45.5230622,-122.6764815
378,Oregon,Eugene,KOPB,AM,1600.0,@opb,,44.0520691,-123.0867536
379,Oregon,Klamath Falls,KLMF,FM,88.5,@jprnews,,42.224867,-121.7816704
381,Oregon,Roseburg,KTBR,AM,950.0,@jprnews,,43.216505,-123.3417381
383,Oregon,Tillamook,KTCB,FM,89.5,@coastradio,,45.4562158,-123.8440137
384,Oregon,Warrenton,KCPB,FM,90.9,@coastradio,,46.1651049,-123.9237557
390,Pennsylvania,Kane,WPSX,FM,90.1,@wpsu,,41.6628394,-78.81114269999999
391,Pennsylvania,Middletown,WXPH,FM,88.7,@wxpnfm,,40.199814,-76.7310806
392,Pennsylvania,Pittsburgh,WESA,FM,90.5,@905wesa,,40.44062479999999,-79.9958864
393,Pennsylvania,Williamsport,WVYA,FM,89.7,@wviatvfm,,41.2411897,-77.00107860000001
394,Rhode Island,North Providence,WRNI,AM,1290.0,@ripr,,41.8535518,-71.46766389999999
395,Rhode Island,Westerly,WXNI,AM,1230.0,@ripr,,41.3775987,-71.82728709999999
397,Rhode Island,South Coast of Massachusetts and Narragansett Bay communities,WXNI,FM,89.3,@ripr,,41.7240907,-71.1437037
398,Rhode Island,Coventry and central RI,WCVY,FM,91.5,@wcvy915,,41.6742388,-71.5544142
399,Rhode Island,"Narragansett and southern RI, Block Island, Aquidneck Island, and parts of the East Bay",WRNI,FM,102.7,@wrni,,41.3791668,-71.5104708
400,South Carolina,Sumter,WRJA,FM,88.1,@scetv,,33.9204354,-80.3414693
403,South Dakota,Lowry,KQSD,FM,91.9,@SoDakPB,,45.3160993,-99.9826202
406,South Dakota,Rapid City,KBHE,FM,89.3,@SoDakPB,,44.0805434,-103.2310149
408,South Dakota,Sioux Falls,KCSD,FM,90.9,@SoDakPB,,43.5445959,-96.73110340000001
409,South Dakota,Vermillion,KUSD,FM,89.7,@SoDakPB,,42.7794417,-96.9292104
410,South Dakota,Sioux Falls,KRSD,FM,88.1,@mpr,,43.5445959,-96.73110340000001
411,Tennessee,Cookeville,WHRS,FM,91.7,@WPLN,,36.162839,-85.5016423
413,Tennessee,Jackson,WKNP,FM,90.1,@wknofm,,35.6145169,-88.81394689999999
414,Tennessee,Collegedale,WSMC,FM,90.5,@wsmcfm,,35.0531301,-85.0502276
415,Tennessee,Nashville,WFCL,FM,91.1,@WPLN,,36.1626638,-86.7816016
416,Texas,Ingram,KTXI,FM,90.1,@tprnews,,30.0774307,-99.24032129999999
417,Texas,Abilene,KACU,FM,89.5,@kacu895,,32.4487364,-99.73314390000002
418,Texas,Amarillo,KJJP,FM,105.7,@hppr,,35.2219971,-101.8312969
420,Texas,Commerce,KETR,FM,88.9,@ketrradio,,33.2470567,-95.8999656
422,Texas,Harlingen,KJJF,FM,88.9,@RGVpublicradio,,26.1906306,-97.69610259999999
423,Texas,Houston,KTSU,FM,90.9,@officialktsu909,,29.7604267,-95.3698028
424,Texas,Llano,KVHL,FM,91.7,@tprnews,,30.75934519999999,-98.67503789999999
425,Texas,Lubbock,KTTZ,FM,89.1,@kttz,,33.5778631,-101.8551665
426,Texas,Marfa,KRTS,FM,93.5,@marfaradio,,30.3094622,-104.020623
427,Texas,Odessa,KXWT,FM,91.3,@kxwt,,31.8456816,-102.3676431
428,Texas,San Angelo,KNCH,FM,90.1,@kttz,,31.4637723,-100.4370375
429,Texas,San Antonio,KPAC,FM,88.3,@tprclassical,,29.4241219,-98.49362819999999
430,Texas,Sherman,KERA,FM,99.3,@keratx,,33.6356618,-96.6088805
431,Texas,Snyder,KTPR,FM,89.9,@tprnews,,32.7178862,-100.9176184
432,Texas,Spearman,KTOT,FM,89.5,@hppr,,36.1983665,-101.1923795
433,Texas,Stephenville,KTRL,FM,90.5,@ktrlradio,,32.2206958,-98.2022633
434,Texas,Tyler,KERA,FM,100.1,@keratx,,32.3512601,-95.30106239999999
435,Texas,Wichita Falls,KMCU,FM,88.7,@kccuradio,,33.9137085,-98.4933873
436,Texas,Wichita Falls,KERA,FM,88.3,@keratx,,33.9137085,-98.4933873
437,Utah,Logan,KUSR,FM,89.5,@utahpublicradio,,41.7369803,-111.8338359
439,Utah,Park City,KPCW,FM,91.7,@kpcwtwitter,,40.6460622,-111.4979729
440,Utah,Price,KCEU,FM,89.7,@TTBook,,39.5994095,-110.8107148
441,Utah,Richfield,KUSL,FM,89.3,@utahpublicradio,,38.7724673,-112.0840943
442,Utah,St. George,KSGU,FM,90.3,@stgeorgechamber,,37.0965278,-113.5684164
444,Vermont,Bristol,WXLQ,FM,90.5,@ncpr,,44.1333912,-73.0790076
445,Vermont,Colchester,WVTX,FM,88.7,@vprnet,,44.5439375,-73.1479068
446,Vermont,Norwich,WNCH,FM,88.1,@vprnet,,43.7153482,-72.307869
450,Virginia,Hot Springs,WCHG,FM,107.1,@mtnradio,,37.9993993,-79.831587
451,Virginia,Monterey,WVLS,FM,89.7,@mtnradio,,38.4123429,-79.5806036
452,Washington,Walla Walla,KWWS,FM,89.7,@nwptv,,46.0645809,-118.3430208
455,Washington,Chehalis,KSWS,FM,88.9,@nwptv,,46.6620478,-122.9640175
459,Washington,Tacoma,KNKX,FM,88.5,@knkxfm,,47.2528768,-122.4442906
460,Washington,Tumwater,KUOW,AM,1340.0,@kuow,,47.0073187,-122.9093063
465,West Virginia,Martinsburg,WVEP,FM,88.9,@wvpublic,,39.4562099,-77.96388689999999
466,West Virginia,Morgantown,WVPM,FM,90.9,@wvpublic,,39.629526,-79.95589679999999
469,West Virginia,Beckley,WVPB,FM,91.7,@wvpublic,,37.7781702,-81.1881557
470,West Virginia,Charleston,WVPN,FM,88.5,@wvpublic,,38.3498195,-81.6326234
473,West Virginia,Charleston,WVPB,FM,88.5,@wvpublic,,38.3498195,-81.6326234
474,West Virginia,Frost,WVMR,AM,1370.0,@mtnradio,,38.2708362,-79.87798339999999
477,Wisconsin,Brule,WHSA,FM,89.9,@wpr,,46.5630932,-91.5863112
478,Wisconsin,Delafield,WHAD,FM,90.7,@wpr,,43.060842,-88.4037079
479,Wisconsin,Eau Claire,WUEC,FM,89.7,@wpr,,44.811349,-91.4984941
480,Wisconsin,Green Bay,WHID,FM,88.1,@wpr,,44.5133188,-88.0132958
