City,State,Station Identifier,AM/FM Number,AM/FM Number
Moorhead,Minnesota,KCCD,FM,90.3
Northfield,Minnesota,WCAL,FM,89.3
Rochester,Minnesota,KMSE,FM,88.7
Rochester,Minnesota,KZSE,FM,90.7
St. Paul,Minnesota,KNOW,FM,91.1
St. Peters,Minnesota,KNGA,FM,91.5
Thief River Falls,Minnesota,KNTN,FM,102.7
Worthington,Minnesota,KNSW,FM,91.7
Biloxi,Mississippi,WMAH,FM,90.3
Booneville,Mississippi,WMAE,FM,89.5
Bude,Mississippi,WMAU,FM,88.9
Greenwood,Mississippi,WMAO,FM,90.9
Holly Springs,Mississippi,WURC,FM,88.1
Jackson,Mississippi,WJSU,FM,88.5
Jackson,Mississippi,WMPN,FM,91.3
Lorman,Mississippi,WPRL,FM,91.7
Meridian,Mississippi,WMAW,FM,88.1
Mississippi State,Mississippi,WMAB,FM,89.9
Oxford,Mississippi,WMAV,FM,90.3
Senatobia,Mississippi,WKNA,FM,88.9
Branson,Missouri,KSMS,FM,90.5
Cape Girardeau,Missouri,KRCU,FM,90.9
Chillicothe,Missouri,KRNW,FM,88.9
Columbia,Missouri,KBIA,FM,91.3
Columbia,Missouri,KOPN,FM,89.5
Kansas City,Missouri,KCUR,FM,89.3
Maryville,Missouri,KXCV,FM,90.5
Rolla,Missouri,KUMR,FM,88.5
Springfield,Missouri,KSMU,FM,91.1
St. Louis,Missouri,KWMU,FM,90.7
Warrensburg,Missouri,KTBG,FM,90.9
Billings,Montana,KEMC,FM,91.7
Bozeman,Montana,KBMC,FM,102.1
Butte,Montana,KAPC,FM,91.3
Fort Belknap,Montana,KGVA,FM,88.1
Great Falls,Montana,KGPR,FM,89.9
Hamilton,Montana,KUFN,FM,91.9
Havre,Montana,KNMC,FM,90.1
Helena,Montana,KUHM,FM,91.7
Kalispell,Montana,KUKL,FM,89.9
Miles City,Montana,KECC,FM,90.7
Missoula,Montana,KUFM,FM,89.1
Alliance,Nebraska,KTNE,FM,91.1
Bassett,Nebraska,KMNE,FM,90.3
Chadron,Nebraska,KCNE,FM,91.9
Hastings,Nebraska,KHNE,FM,89.1
Lexington,Nebraska,KLNE,FM,88.7
Lincoln,Nebraska,KUCV,FM,91.1
Merriman,Nebraska,KRNE,FM,91.5
Norfolk,Nebraska,KXNE,FM,89.3
North Platte,Nebraska,KPNE,FM,91.7
Omaha,Nebraska,KIOS,FM,91.5
Elko,Nevada,KNCC,FM,91.5
Las Vegas,Nevada,KNPR,FM,89.5
Las Vegas,Nevada,KUNV,FM,91.5
Las Vegas,Nevada,KWPR,FM,88.7
Panaca,Nevada,KLNR,FM,91.7
Reno,Nevada,KUNR,FM,88.7
Tonopah,Nevada,KTPH,FM,91.7
Concord,New Hampshire,WEVO,FM,89.1
Gorham,New Hampshire,WEVC,FM,107.1
Hanover,New Hampshire,WEVH,FM,91.3
Keene,New Hampshire,WEVN,FM,90.7
Atlantic City,New Jersey,WNJN,FM,89.7
Berlin,New Jersey,WNJS,FM,88.1
Bridgeton,New Jersey,WNJB,FM,89.3
Cape May,New Jersey,WNJZ,FM,90.3
Hackettstown,New Jersey,WNTI,FM,91.9
Lincroft,New Jersey,WBJB,FM,90.5
Manahawkin,New Jersey,WNJM,FM,89.9
Newark,New Jersey,WBGO,FM,88.3
Atlantic City,New Jersey,WRTQ,FM,91.3
Sussex,New Jersey,WNJP,FM,88.5
Trenton,New Jersey,WNJT,FM,88.1
Albuquerque,New Mexico,KANW,FM,89.1
Albuquerque,New Mexico,KUNM,FM,89.9
Gallup,New Mexico,KGLP,FM,91.7
Las Cruces,New Mexico,KRWG,FM,90.7
Magdalena,New Mexico,KABR,AM,1500
Maljamar,New Mexico,KMTH,FM,98.7
Portales,New Mexico,KENW,FM,89.5
Ramah,New Mexico,KTDB,FM,89.7
Albany,New York,WAMC,FM,90.3
Binghamton,New York,WSKG,FM,89.3
Binghamton,New York,WSQX,FM,91.5
Blue Mountain Lake,New York,WXLH,FM,91.3
Brooklyn,New York,WNYE,FM,91.5
Brookville,New York,WCWP,FM,88.1
Buffalo,New York,WBFO,FM,88.7
Buffalo,New York,WNED,AM,970
Buffalo,New York,WNED,FM,89.3
Canajoharie,New York,WCAN,FM,93.3
Canton,New York,WSLU,FM,89.5
Corning,New York,WSQE,FM,91.1
Geneva,New York,WEOS,FM,89.7
Hornell,New York,WSQA,FM,88.7
Houghton,New York,WJSL,FM,90.3
Ithaca,New York,WSQG,FM,90.9
Jamestown,New York,WUBJ,FM,88.1
Jeffersonville,New York,WJFF,FM,90.5
Kingston,New York,WAMK,FM,90.9
Malone,New York,WSLO,FM,90.9
Middletown,New York,WOSR,FM,91.7
New York City,New York,WFUV,FM,90.7
New York City,New York,WNYC,AM,820
New York City,New York,WNYC,FM,93.9
North Creek,New York,WXLG,FM,89.9
Olean,New York,WOLN,FM,91.3
Oneonta,New York,WSQC,FM,91.7
Oswego,New York,WRVO,FM,89.9
Oswego,New York,WRVD,FM,90.3
Peru,New York,WXLU,FM,88.3
Plattsburgh,New York,WCEL,FM,91.9
Poughkeepsie,New York,WRHV,FM,88.7
Rochester,New York,WXXI,AM,1370
Rochester,New York,WXXI,FM,91.5
Saranac Lake,New York,WSLL,FM,90.5
Schenectady,New York,WMHT,FM,89.1
Selden,New York,WSUF,FM,89.9
Southampton,New York,WLIU,FM,88.3
Southampton,New York,WRLI,FM,91.3
Syracuse,New York,WAER,FM,88.3
Syracuse,New York,WCNY,FM,91.3
Ticonderoga,New York,WANC,FM,103.9
Utica,New York,WRVN,FM,91.9
Utica,New York,WUNY,FM,89.5
Watertown,New York,WJNY,FM,90.9
Watertown,New York,WRVJ,FM,91.7
Watertown,New York,WSLJ,FM,88.9
Asheville,North Carolina,WCQS,FM,88.1
Atlantic Beach,North Carolina,WBJD,FM,91.5
Buxton,North Carolina,WBUX,FM,90.5
Chapel Hill,North Carolina,WUNC,FM,91.5
