,Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
219,397,New Mexico,Albuquerque,Albuquerque,KANW,FM,89.1,@kanwfm,,Twitter,both,Emptyatload
220,398,New Mexico,Albuquerque,Albuquerque,KUNM,FM,89.9,@kunmnews,,Twitter,both,Emptyatload
221,399,New Mexico,Gallup,Gallup,KGLP,FM,91.7,@KGLPradio,,Twitter,both,Emptyatload
222,400,New Mexico,Las Cruces,Las Cruces,KRWG,FM,90.7,@krwg,,Twitter,both,Emptyatload
223,402,New Mexico,Maljamar,Maljamar,KMTH,FM,98.7,@KENWpublicmedia,,Twitter,both,Emptyatload
224,403,New Mexico,Portales,Portales,KENW,FM,89.5,@KENWpublicmedia,,Twitter,both,Emptyatload
226,401,New Mexico,Magdalena,,KABR,AM,1500.0,@kabrradio,,Twitter,left_only,Emptyatload
230,405,New York,Albany,Albany,WAMC,FM,90.3,@WAMCradio,,Twitter,both,Emptyatload
231,406,New York,Binghamton,Binghamton,WSKG,FM,89.3,@WSKG,,Twitter,both,Emptyatload
232,407,New York,Binghamton,Binghamton,WSQX,FM,91.5,@WSKG,,Twitter,both,Emptyatload
235,410,New York,Brookville,Brookville,WCWP,FM,88.1,@wcwpsports,,Twitter,both,Emptyatload
236,411,New York,Buffalo,Buffalo,WBFO,FM,88.7,@wbfo,,Twitter,both,Emptyatload
238,415,New York,Canton,Canton,WSLU,FM,89.5,@ncpr,,Twitter,both,Emptyatload
241,420,New York,Ithaca,Ithaca,WSQG,FM,90.9,@wskg,,Twitter,both,Emptyatload
242,421,New York,Jamestown,Jamestown,WUBJ,FM,88.1,@wbfo,,Twitter,both,Emptyatload
243,422,New York,Jeffersonville,Jeffersonville,WJFF,FM,90.5,@wjffradio,,Twitter,both,Emptyatload
247,426,New York,New York City,New York City,WFUV,FM,90.7,@wfuv,,Twitter,both,Emptyatload
248,427,New York,New York City,New York City,WNYC,AM,820.0,@wnyc,,Twitter,both,Emptyatload
249,428,New York,New York City,New York City,WNYC,FM,93.9,@wnyc,,Twitter,both,Emptyatload
251,430,New York,Olean,Olean,WOLN,FM,91.3,@wbfo,,Twitter,both,Emptyatload
253,432,New York,Oswego,Oswego,WRVO,FM,89.9,@WRVO,,Twitter,both,Emptyatload
255,435,New York,Plattsburgh,Plattsburgh,WCEL,FM,91.9,@WMACradio,,Twitter,both,Emptyatload
256,436,New York,Poughkeepsie,Poughkeepsie,WRHV,FM,88.7,@wwfmclassical,,Twitter,both,Emptyatload
257,437,New York,Rochester,Rochester,WXXI,AM,1370.0,@WXXInews,,Twitter,both,Emptyatload
258,438,New York,Rochester,Rochester,WXXI,FM,91.5,@WXXInews,,Twitter,both,Emptyatload
259,439,New York,Saranac Lake,Saranac Lake,WSLL,FM,90.5,@ncpr,,Twitter,both,Emptyatload
260,440,New York,Schenectady,Schenectady,WMHT,FM,89.1,@wmhtpubmedia,,Twitter,both,Emptyatload
261,441,New York,Selden,Selden,WSUF,FM,89.9,@wshunews,,Twitter,both,Emptyatload
263,444,New York,Syracuse,Syracuse,WAER,FM,88.3,@waer883,,Twitter,both,Emptyatload
264,445,New York,Syracuse,Syracuse,WCNY,FM,91.3,@wcny,,Twitter,both,Emptyatload
267,448,New York,Utica,Utica,WUNY,FM,89.5,@wcny,,Twitter,both,Emptyatload
271,412,New York,Buffalo,,WNED,AM,970.0,@wned,,Twitter,left_only,Emptyatload
272,413,New York,Buffalo,,WNED,FM,89.3,@wned,,Twitter,left_only,Emptyatload
273,417,New York,Geneva,,WEOS,FM,89.7,@WEOSmorning,,Twitter,left_only,Emptyatload
276,442,New York,Southampton,,WLIU,FM,88.3,@WLIU_BK,,Twitter,left_only,Emptyatload
278,888,New York,Boonville,Boonville,WXLB,FM,91.7,@ncpr,,Twitter,right_only,Emptyatload
279,889,New York,Buffalo,Buffalo,WNED,FM,94.5,@wned,@wnedtv,Twitter,right_only,Emptyatload
281,891,New York,Fredonia,Fredonia,WCVF,FM,91.3,@fredoniaradio,,Twitter,right_only,Emptyatload
282,892,New York,Geneva,Geneva,WEOS,FM,89.5,@WEOSmorning,,Twitter,right_only,Emptyatload
283,893,New York,Gouverneur,Gouverneur,WXLB,FM,90.5,@ncpr,,Twitter,right_only,Emptyatload
284,894,New York,Hamilton,Hamilton,WRCU,FM,90.1,@wrcucolgate,,Twitter,right_only,Emptyatload
285,895,New York,Houghton,Houghton,WXXY,FM,90.3,@WXXIrochester,,Twitter,right_only,Emptyatload
286,896,New York,Jamestown,Jamestown,WNJA,FM,89.7,@wned,,Twitter,right_only,Emptyatload
288,898,New York,Peru,Peru,WXLU,FM,88.1,@ncpr,,Twitter,right_only,Emptyatload
289,899,New York,Rochester,Rochester,WRUR,FM,88.5,@wrurfm,,Twitter,right_only,Emptyatload
290,900,New York,Southampton,Southampton,WPPB,FM,88.3,@wppb,,Twitter,right_only,Emptyatload
291,901,New York,Tupper Lake,Tupper Lake,WXLS,FM,88.3,@ncpr,,Twitter,right_only,Emptyatload
292,452,North Carolina,Asheville,Asheville,WCQS,FM,88.1,@news_bpr,,Twitter,both,Emptyatload
293,453,North Carolina,Atlantic Beach,Atlantic Beach,WBJD,FM,91.5,@publicradioeast,,Twitter,both,Emptyatload
295,455,North Carolina,Chapel Hill,Chapel Hill,WUNC,FM,91.5,@wunc,,Twitter,both,Emptyatload
296,456,North Carolina,Charlotte,Charlotte,WFAE,FM,90.7,@wfae,,Twitter,both,Emptyatload
297,457,North Carolina,Davidson,Davidson,WDAV,FM,89.9,@wdav,,Twitter,both,Emptyatload
298,458,North Carolina,Durham,Durham,WNCU,FM,90.7,@wncu,,Twitter,both,Emptyatload
299,459,North Carolina,Fayetteville,Fayetteville,WFSS,FM,91.9,@wunc,,Twitter,both,Emptyatload
300,460,North Carolina,Franklin,Franklin,WFQS,FM,91.3,@news_bpr,,Twitter,both,Emptyatload
303,464,North Carolina,New Bern,New Bern,WTEB,FM,89.3,@publicradioeast,,Twitter,both,Emptyatload
304,467,North Carolina,Spindale,Spindale,WNCW,FM,88.7,@wncw,,Twitter,both,Emptyatload
305,468,North Carolina,Wilmington,Wilmington,WHQR,FM,91.3,@whqr,,Twitter,both,Emptyatload
306,469,North Carolina,Winston-Salem,Winston-Salem,WFDD,FM,88.5,@wfdd,,Twitter,both,Emptyatload
307,462,North Carolina,Kingston,,WKNS,FM,90.5,@publicradioeast,,Twitter,left_only,Emptyatload
309,466,North Carolina,Rocky Mount,,WRQM,FM,90.0,@wunc,,Twitter,left_only,Emptyatload
310,902,North Carolina,Elizabeth City,Elizabeth City,WRVS,FM,89.9,@wrvs899,,Twitter,right_only,Emptyatload
311,903,North Carolina,Kinston,Kinston,WKNS,FM,90.3,@publicradioeast,,Twitter,right_only,Emptyatload
312,904,North Carolina,Manteo,Manteo,WUND,FM,88.9,@wunc,,Twitter,right_only,Emptyatload
313,905,North Carolina,New Bern,New Bern,WZNB,FM,88.5,@publicradioeast,,Twitter,right_only,Emptyatload
314,906,North Carolina,Raleigh,Raleigh,WSHA,FM,88.9,@889fmwsha,,Twitter,right_only,Emptyatload
315,907,North Carolina,Raleigh,Raleigh,WCPE,FM,89.7,@wcpe,,Twitter,right_only,Emptyatload
316,908,North Carolina,Rocky Mount,Rocky Mount,WRQM,FM,90.9,@wunc,,Twitter,right_only,Emptyatload
317,909,North Carolina,Winston-Salem,Winston-Salem,WSNC,FM,90.5,@wsncradio,,Twitter,right_only,Emptyatload
318,470,North Dakota,Belcourt,Belcourt,KEYA,FM,88.5,@KEYApublicradio,,Twitter,both,Emptyatload
319,471,North Dakota,Bismarck,Bismarck,KCND,FM,90.5,@prairiepublic,,Twitter,both,Emptyatload
320,472,North Dakota,Dickinson,Dickinson,KDPR,FM,89.9,@KDPRknows,,Twitter,both,Emptyatload
321,473,North Dakota,Fargo,Fargo,KDSU,FM,91.9,@prairiepublic,,Twitter,both,Emptyatload
322,474,North Dakota,Grand Forks,Grand Forks,KUND,FM,89.3,@prairiepublic,,Twitter,both,Emptyatload
323,475,North Dakota,Jamestown,Jamestown,KPRJ,FM,91.5,@prairiepublic,,Twitter,both,Emptyatload
325,477,North Dakota,Williston,Williston,KPPR,FM,89.5,@prairiepublic,,Twitter,both,Emptyatload
327,478,Ohio,Athens,Athens,WOUB,AM,1340.0,@woub,,Twitter,both,Emptyatload
328,479,Ohio,Athens,Athens,WOUB,FM,91.3,@woub,,Twitter,both,Emptyatload
332,490,Ohio,Dayton,Dayton,WDPR,FM,88.1,@discoverdpr,,Twitter,both,Emptyatload
334,492,Ohio,Ironton,Ironton,WOUL,FM,89.1,@woub,,Twitter,both,Emptyatload
336,495,Ohio,Mansfield,Mansfield,WOSV,FM,91.7,@wosu,,Twitter,both,Emptyatload
339,499,Ohio,Oxford,Oxford,WMUB,FM,88.5,@917wvxu,,Twitter,both,Emptyatload
341,502,Ohio,Toledo,Toledo,WGTE,FM,91.3,@wtgepublic,,Twitter,both,Emptyatload
342,504,Ohio,Wooster,Wooster,WKRW,FM,89.3,@wksu,,Twitter,both,Emptyatload
345,497,Ohio,Mt. Gilead,,WVXG,FM,95.1,@951rocks,,Twitter,left_only,Emptyatload
